temperature,pressure,sat_solid_spec_vol,evaporation_spec_vol,sat_vapor_spec_volsat_solid_inter_eng,evaporation_inter_eng,sat_vapor_inter_eng, 
0.01,0.6113,0.0010908,206.152,206.153,-333.40,2708.7,2375.3
0,0.6108,0.0010908,206.314,206.315,-333.42,2708.7,2375.3
-2,0.5177,0.0010905,241.662,241.663,-337.61,2710.2,2372.5
-4,0.4376,0.0010901,283.798,283.799,-341.78,2711.5,2369.8
-6,0.3689,0.0010898,334.138,334.139,-345.91,2712.9,2367.0
-8,0.3102,0.0010894,394.413,394.414,-350.02,2714.2,2364.2
-10,0.2601,0.0010891,466.756,466.757,-354.09,2715.5,2361.4
-12,0.2176,0.0010888,553.802,553.803,-358.14,2716.8,2358.7
-14,0.1815,0.0010884,658.824,658.824,-362.16,2718.0,2355.9
-16,0.1510,0.0010881,785.906,785.907,-366.14,2719.2,2353.1
-18,0.1252,0.0010878,940.182,940.183,-370.10,2720.4,2350.3
-20,0.10355,0.0010874,1128.112,1128.113,-374.03,2721.6,2347.5
-22,0.08535,0.0010871,1357.863,1357.864,-377.93,2722.7,2344.7
-24,0.07012,0.0010868,1639.752,1639.753,-381.80,2723.7,2342.0
-26,0.05741,0.0010864,1986.775,1986.776,-385.64,2724.8,2339.2
-28,0.04684,0.0010861,2415.200,2415.201,-389.45,2725.8,2336.4
-30,0.03810,0.0010858,2945.227,2945.228,-393.23,2726.8,2333.6
-32,0.03090,0.0010854,3601.822,3601.823,-396.98,2727.8,2330.8
-34,0.02499,0.0010851,4416.252,4416.253,-400.71,2728.7,2328.0
-36,0.02016,0.0010848,5430.115,5430.116,-404.40,2729.6,2325.2
-38,0.01618,0.0010844,6707.021,6707.022,-408.06,2730.5,2322.4
-40,0.01286,0.0010841,8366.395,8366.396,-411.70,2731.3,2319.6
